,fips,name,planar_measure,network_measure,seg_difference,p_value
0,10180,"Abilene, TX",0.10301261365358635,0.13883515668769958,0.035822543034113224,0.0732
1,10420,"Akron, OH",0.25086182143654256,0.28885823451623754,0.03799641307969498,0.0588
2,10500,"Albany, GA",0.3059612780858213,0.3178738168683013,0.011912538782479998,0.7482
3,10540,"Albany-Lebanon, OR",0.07713388914599337,0.11161463264443913,0.034480743498445765,0.1616
4,10580,"Albany-Schenectady-Troy, NY",0.15828873075345856,0.19888502896471794,0.040596298211259374,0.0124
5,10740,"Albuquerque, NM",0.11837766952983356,0.13828621506439046,0.0199085455345569,0.0672
6,10780,"Alexandria, LA",0.3580129547461075,0.381051937338085,0.023038982591977508,0.6408
7,10900,"Allentown-Bethlehem-Easton, PA-NJ",0.2086050540823984,0.2443259690350775,0.035720914952679095,0.0158
8,11020,"Altoona, PA",0.09299694400909096,0.12374314494547052,0.03074620093637956,0.179
9,11100,"Amarillo, TX",0.18243568785020325,0.21459521678706772,0.03215952893686447,0.2024
10,11180,"Ames, IA",0.09035520400909526,0.12838325923305466,0.0380280552239594,0.276
11,11260,"Anchorage, AK",0.09161991711439166,0.1346882292966319,0.04306831218224025,0.0024
12,11460,"Ann Arbor, MI",0.14660473286217374,0.16725852564261479,0.02065379278044105,0.2512
13,11500,"Anniston-Oxford, AL",0.28056076409029274,0.2987078759821427,0.018147111891849976,0.6938
14,11540,"Appleton, WI",0.09827296503858048,0.13218648544467385,0.03391352040609337,0.123
15,11700,"Asheville, NC",0.1953815745767346,0.21887910630467225,0.023497531727937643,0.2442
16,12020,"Athens-Clarke County, GA",0.16432459718376438,0.20709170232964697,0.042767105145882583,0.2192
17,12060,"Atlanta-Sandy Springs-Alpharetta, GA",0.29316830881599404,0.3210238357698541,0.027855526953860066,0.0006
18,12100,"Atlantic City-Hammonton, NJ",0.2683395259289738,0.2916779171096804,0.023338391180706575,0.3416
19,12220,"Auburn-Opelika, AL",0.17354478005016916,0.18666376541237184,0.013118985362202684,0.6632
20,12260,"Augusta-Richmond County, GA-SC",0.2333065488628752,0.25558629581850056,0.022279746955625374,0.202
21,12420,"Austin-Round Rock-Georgetown, TX",0.1515558414111668,0.1743586443532922,0.022802802942125416,0.0064
22,12540,"Bakersfield, CA",0.20026659380596268,0.23170651767128989,0.03143992386532721,0.0318
23,12580,"Baltimore-Columbia-Towson, MD",0.28447650880341213,0.3309924086325449,0.04651589982913279,0.0
24,12620,"Bangor, ME",0.15495371325697938,0.18254288225846588,0.027589169001486502,0.229
25,12700,"Barnstable Town, MA",0.20360811445065696,0.23983351994068405,0.03622540549002709,0.0456
26,12940,"Baton Rouge, LA",0.34766744859041526,0.37764833898069916,0.0299808903902839,0.114
27,12980,"Battle Creek, MI",0.19486186734770647,0.22043171798452516,0.025569850636818686,0.416
28,13020,"Bay City, MI",0.07954221160211844,0.09977019963165289,0.020227988029534447,0.3544
29,13140,"Beaumont-Port Arthur, TX",0.29919642800192314,0.3331780000543752,0.03398157205245206,0.1174
30,13220,"Beckley, WV",0.27272804158810066,0.2941704538808289,0.021442412292728252,0.6448
31,13380,"Bellingham, WA",0.07509671947487281,0.09388988275655848,0.018793163281685663,0.2442
32,13460,"Bend, OR",0.10815274001098756,0.129018453184469,0.020865713173481445,0.3362
33,13740,"Billings, MT",0.07475774010513277,0.11617219109703934,0.041414450991906576,0.03
34,13780,"Binghamton, NY",0.09909242014807755,0.13698188436969616,0.03788946422161861,0.0314
35,13820,"Birmingham-Hoover, AL",0.3957753326190694,0.43013473706399546,0.03435940444492608,0.054
36,13900,"Bismarck, ND",0.09807738026491664,0.13550820959123386,0.03743082932631722,0.091
