,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km
0,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,0,0.0,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
1,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,10881,0.15375158965663416,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
2,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,0,0.0,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
3,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,45174,0.6383213225943196,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
4,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,14441,0.20405539070227496,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
5,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,248,0.0035043097357637418,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
6,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,19,0.0002684753426593189,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
7,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,5,7.065140596297866e-05,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
8,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,0,0.0,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
9,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,1,1.4130281192595733e-05,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
10,70770,205420,5.805284725166031,42400183.054000184,206.40727803524575,2.9048325561678676,1,1.4130281192595733e-05,59889,21200091.526999697,102710,206.40727803524192,1.0815092361487155,0.0036023756206795834,4.894400216715246,4.141878402979502,2932.3649163242135,1466.1824581620795
