,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km
0,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,0,0.0,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
1,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,17844,0.23268307949092426,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
2,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,0,0.0,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
3,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,46277,0.6034451283121218,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
4,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,12301,0.16040319215522636,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
5,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,249,0.0032469225954517003,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
6,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,16,0.00020863759649488838,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
7,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,0,0.0,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
8,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,0,0.0,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
9,76688,207144,5.402253286042145,27180169.730000287,131.21388855096112,2.7022350302524516,1,1.3039849780930524e-05,58844,13590084.864999967,103572,131.2138885509594,1.105783567357504,0.0060344494651063995,11.366632815498004,8.721809688545335,4028.6225900248646,2014.3112950124062
